PartnerOrderID;carID;PaymentMethodID;DeliveryTypeID;ContractTypeID;PartnerID;InvoiceID;OrderDate
;31;4;3;9;216;1;2022.04.07
;32;5;5;7;409;2;2022.04.07
;2;2;4;5;384;3;2022.04.07
;128;6;4;2;788;4;2022.04.07
;43;6;2;9;488;5;2022.04.07
;78;5;1;9;608;6;2022.04.07
;81;1;3;2;934;7;2022.04.07
;21;3;1;6;436;8;2022.04.07
;36;3;3;3;168;9;2022.04.07
;124;5;4;8;471;10;2022.04.07
;39;6;2;8;368;11;2022.04.07
;4;4;2;2;943;12;2022.04.07
;102;5;5;9;359;13;2022.04.07
;68;4;5;3;330;14;2022.04.07
;74;3;1;5;226;15;2022.04.07
;92;5;3;7;374;16;2022.04.07
;83;5;1;3;489;17;2022.04.07
;9;5;4;9;968;18;2022.04.07
;118;2;4;3;148;19;2022.04.07
;110;6;1;9;813;20;2022.04.07
;97;6;1;3;184;21;2022.04.07
;104;2;2;7;64;22;2022.04.07
;64;3;5;3;930;23;2022.04.07
;63;3;1;2;984;24;2022.04.07
;106;4;3;7;330;25;2022.04.07
;14;6;3;1;364;26;2022.04.07
;91;5;4;6;32;27;2022.04.07
;94;1;5;8;145;28;2022.04.07
;82;1;5;4;310;29;2022.04.07
;30;4;4;2;244;30;2022.04.07
;34;5;2;6;898;31;2022.04.07
;130;3;2;5;294;32;2022.04.07
;96;5;1;3;810;33;2022.04.07
;16;6;1;4;429;34;2022.04.07
;59;5;4;9;121;35;2022.04.07
;46;3;4;9;795;36;2022.04.07
;23;3;5;4;770;37;2022.04.07
;18;6;5;3;273;38;2022.04.07
;24;3;1;2;332;39;2022.04.07
;44;3;3;3;732;40;2022.04.11
;117;6;5;1;624;41;2022.04.11
;58;1;3;5;388;42;2022.04.11
;20;1;5;8;895;43;2022.04.11
;99;1;3;3;169;44;2022.04.11
;41;3;3;9;859;45;2022.04.11
;72;4;1;9;536;46;2022.04.11
;84;3;2;4;117;47;2022.04.11
;28;5;4;3;762;48;2022.04.11
;87;4;5;9;143;49;2022.04.11
;120;3;2;9;817;50;2022.04.11
;26;6;1;9;977;51;2022.04.11
;70;6;2;6;861;52;2022.04.11
;33;3;5;7;48;53;2022.04.11
;129;4;4;1;4;54;2022.04.11
;45;2;1;5;184;55;2022.04.11
;73;5;5;6;553;56;2022.04.11
;93;4;5;4;801;57;2022.04.11
;37;3;4;3;503;58;2022.04.11
;119;4;5;2;317;59;2022.04.11
;17;3;5;1;773;60;2022.04.11
;127;2;4;3;802;61;2022.04.11
;67;2;1;3;630;62;2022.04.11
;35;5;4;4;723;63;2022.04.11
;15;4;1;9;614;64;2022.04.11
;100;6;3;1;404;65;2022.04.11
;131;3;5;1;35;66;2022.04.11
;48;5;5;7;289;67;2022.04.11
;90;2;1;9;299;68;2022.04.11
;7;1;5;4;493;69;2022.04.11
;111;2;5;1;243;70;2022.04.11
;52;5;1;4;660;71;2022.04.11
;40;5;4;7;666;72;2022.04.11
;56;3;3;7;677;73;2022.04.11
;107;6;3;1;108;74;2022.04.11
;62;2;1;3;99;75;2022.04.11
;112;1;3;3;778;76;2022.04.11
;123;2;1;2;555;77;2022.04.11
;5;5;4;6;290;78;2022.04.11
;69;2;3;1;753;79;2022.04.11
;125;5;5;1;236;80;2022.04.13
;8;3;1;5;185;81;2022.04.13
;42;1;1;6;258;82;2022.04.13
;55;4;5;8;68;83;2022.04.13
;57;2;4;5;399;84;2022.04.13
;27;4;2;4;711;85;2022.04.13
;19;2;4;4;398;86;2022.04.13
;114;2;3;7;588;87;2022.04.13
;65;5;3;2;512;88;2022.04.13
;75;4;2;3;497;89;2022.04.13
;105;5;3;5;216;90;2022.04.13
;115;5;4;8;446;91;2022.04.13
;98;1;4;6;422;92;2022.04.13
;6;5;2;7;268;93;2022.04.13
;108;6;1;1;879;94;2022.04.13
;126;2;1;2;446;95;2022.04.13
;77;2;4;1;143;96;2022.04.13
;66;2;3;8;840;97;2022.04.13
;103;2;1;4;32;98;2022.04.13
;54;3;2;6;190;99;2022.04.13
;38;3;3;9;806;100;2022.04.13
;109;3;2;5;593;101;2022.04.13
;61;4;1;6;661;102;2022.04.13
;13;4;3;4;894;103;2022.04.13
;11;3;2;8;435;104;2022.04.13
;53;3;2;2;282;105;2022.04.13
;60;1;2;9;830;106;2022.04.13
;25;6;2;3;522;107;2022.04.13
;116;4;4;2;132;108;2022.04.13
;10;4;5;2;25;109;2022.04.13
;121;3;5;7;998;110;2022.04.13
;3;3;3;9;593;111;2022.04.13
;29;1;1;6;830;112;2022.04.13
;51;3;3;9;520;113;2022.04.13
;86;3;5;2;151;114;2022.04.13
;22;1;2;5;744;115;2022.04.13
;76;4;4;6;325;116;2022.04.13
;122;5;4;8;710;117;2022.04.13
;71;4;1;8;994;118;2022.04.18
;79;3;5;1;681;119;2022.04.18
;95;5;4;5;546;120;2022.04.18
;47;5;3;7;613;121;2022.04.18
;12;2;3;2;636;122;2022.04.18
;49;5;3;8;13;123;2022.04.18
;88;2;4;8;839;124;2022.04.18
;80;6;5;3;232;125;2022.04.18
;113;1;5;2;938;126;2022.04.18
;101;5;3;9;582;127;2022.04.18
;85;2;4;5;117;128;2022.04.18
;89;6;1;5;110;129;2022.04.20
;50;2;2;5;416;130;2022.04.20
;1;4;3;6;296;131;2022.04.20
;10;3;2;5;19;132;2022.04.20
;45;4;5;1;43;133;2022.04.20
;6;5;2;3;919;134;2022.04.20
;94;5;5;6;269;135;2022.04.20
;85;2;3;2;460;136;2022.04.20
;9;2;2;5;766;137;2022.04.20
;109;2;5;7;627;138;2022.04.20
;58;4;1;2;758;139;2022.04.20
;56;3;2;2;351;140;2022.04.20
;97;3;5;3;494;141;2022.04.20
;59;4;3;8;240;142;2022.04.20
;19;5;4;1;734;143;2022.04.20
;117;3;4;7;4;144;2022.04.20
;50;4;1;5;143;145;2022.04.20
;120;4;4;5;795;146;2022.04.27
;67;2;1;7;980;147;2022.04.27
;77;1;3;6;251;148;2022.04.27
;16;6;1;5;358;149;2022.04.27
;43;5;2;4;122;150;2022.04.27
;115;4;5;4;358;151;2022.04.27
;25;3;3;3;922;152;2022.04.27
;93;6;3;8;793;153;2022.04.27
;122;2;4;6;844;154;2022.04.27
;54;5;1;4;447;155;2022.04.27
;66;6;4;6;45;156;2022.04.27
;49;5;3;7;309;157;2022.04.27
;78;4;1;4;355;158;2022.04.27
;82;5;2;3;582;159;2022.04.27
;68;2;3;7;298;160;2022.04.27
;12;6;1;2;877;161;2022.04.27
;57;1;3;5;964;162;2022.04.27
;52;3;1;9;342;163;2022.04.27
;46;1;4;6;996;164;2022.04.27
;44;5;2;6;672;165;2022.04.27
;34;3;1;4;743;166;2022.04.27
;33;4;4;5;304;167;2022.04.27
;90;3;2;8;708;168;2022.04.27
;130;1;1;3;778;169;2022.04.27
;99;5;5;5;285;170;2022.04.27
;79;5;1;4;398;171;2022.04.27
;69;6;1;3;536;172;2022.04.27
;27;6;5;1;922;173;2022.04.27
;3;3;5;8;162;174;2022.04.27
;95;6;4;2;145;175;2022.05.05
;105;2;2;4;40;176;2022.05.05
;47;6;5;7;424;177;2022.05.05
;7;5;4;5;631;178;2022.05.05
;31;4;4;3;502;179;2022.05.05
;126;3;1;3;401;180;2022.05.05
;124;5;4;9;526;181;2022.05.05
;20;5;3;5;733;182;2022.05.05
;106;3;3;7;171;183;2022.05.05
;113;1;2;3;268;184;2022.05.05
;121;4;1;2;395;185;2022.05.05
;13;2;3;2;930;186;2022.05.05
;128;4;3;3;120;187;2022.05.05
;64;4;3;1;387;188;2022.05.05
;36;3;4;3;822;189;2022.05.05
;104;5;3;7;401;190;2022.05.05
;18;1;3;5;932;191;2022.05.05
;75;2;4;7;672;192;2022.05.05
;17;6;4;7;908;193;2022.05.05
;96;4;3;3;267;194;2022.05.05
;22;4;5;4;964;195;2022.05.05
;118;3;2;4;577;196;2022.05.05
;63;3;5;8;293;197;2022.05.05
;71;4;3;2;826;198;2022.05.05
;61;2;4;7;94;199;2022.05.05
;55;1;4;3;488;200;2022.05.05
;38;2;1;1;296;201;2022.05.05
;41;2;2;6;249;202;2022.05.05
;80;2;3;6;367;203;2022.05.11
;73;2;3;3;413;204;2022.05.11
;119;1;3;9;485;205;2022.05.11
;30;3;3;3;666;206;2022.05.11
;40;3;4;6;804;207;2022.05.11
;102;2;1;1;47;208;2022.05.11
;92;4;1;4;174;209;2022.05.11
;72;5;5;9;519;210;2022.05.11
;37;1;3;7;17;211;2022.05.11
;8;1;4;7;994;212;2022.05.11
;51;6;5;5;743;213;2022.05.11
;11;4;3;9;232;214;2022.05.11
;88;4;1;5;565;215;2022.05.11
;48;2;4;6;887;216;2022.05.11
;4;5;1;4;560;217;2022.05.11
;62;2;2;8;833;218;2022.05.11
;87;3;4;5;341;219;2022.05.11
;76;5;5;3;918;220;2022.05.13
;60;2;2;2;224;221;2022.05.13
;29;2;1;2;613;222;2022.05.13
;103;5;1;2;607;223;2022.05.13
;100;6;5;7;776;224;2022.05.13
;14;4;2;3;661;225;2022.05.13
;74;6;2;6;620;226;2022.05.13
;127;3;1;3;784;227;2022.05.13
;129;4;1;4;517;228;2022.05.13
;114;5;5;8;212;229;2022.05.13
;32;4;4;7;501;230;2022.05.25
;21;3;2;6;72;231;2022.05.25
;108;4;5;8;562;232;2022.05.25
;28;1;2;4;424;233;2022.05.25
;1;5;1;9;422;234;2022.05.25
;86;4;2;5;741;235;2022.05.25
;70;6;4;4;39;236;2022.05.25
;111;5;2;1;300;237;2022.05.25
;65;3;4;7;356;238;2022.05.25
;81;4;2;8;309;239;2022.05.25
;131;1;5;9;802;240;2022.05.25
;101;6;2;8;256;241;2022.05.25
;39;5;3;3;401;242;2022.05.25
;23;1;4;1;881;243;2022.05.25
;26;4;1;5;296;244;2022.05.31
;112;6;2;2;817;245;2022.05.31
;35;5;1;1;457;246;2022.05.31
;42;3;3;1;610;247;2022.05.31
;89;6;3;1;162;248;2022.05.31
;123;6;5;1;498;249;2022.05.31
;83;6;1;5;500;250;2022.05.31
;5;5;3;4;798;251;2022.05.31
;91;5;5;4;313;252;2022.05.31
;24;4;5;7;212;253;2022.05.31
;125;3;3;8;756;254;2022.05.31
;107;2;1;7;355;255;2022.05.31
;116;4;4;5;546;256;2022.05.31
;84;3;3;2;860;257;2022.05.31
;53;3;4;9;646;258;2022.05.31
;15;2;1;7;939;259;2022.05.31
;2;5;3;5;173;260;2022.05.31
;110;3;5;9;671;261;2022.05.31
;98;3;5;6;883;262;2022.05.31
;57;4;5;4;863;263;2022.05.31
;5;5;2;8;838;264;2022.05.31
;7;3;1;1;161;265;2022.05.31
;2;4;5;5;2;266;2022.05.31
;131;6;1;2;211;267;2022.06.07
;64;1;1;2;702;268;2022.06.07
;4;3;3;4;161;269;2022.06.07
;27;6;4;8;873;270;2022.06.07
;44;5;5;1;374;271;2022.06.07
;109;1;3;1;288;272;2022.06.07
;61;5;5;3;5;273;2022.06.07
;68;6;3;8;647;274;2022.06.07
;91;6;4;4;356;275;2022.06.14
;12;1;4;3;329;276;2022.06.14
;70;2;4;9;639;277;2022.06.14
;129;5;5;7;280;278;2022.06.14
;30;4;5;5;803;279;2022.06.14
;92;5;4;5;204;280;2022.06.14
;65;2;1;2;888;281;2022.06.14
;105;6;2;8;582;282;2022.06.14
;3;3;5;1;192;283;2022.06.14
;103;1;2;3;631;284;2022.06.14
;11;1;3;1;251;285;2022.06.14
;116;4;3;4;403;286;2022.06.14
;24;2;4;5;597;287;2022.06.20
;26;2;1;6;726;288;2022.06.20
;112;1;3;2;145;289;2022.06.20
;89;5;4;2;803;290;2022.06.20
;17;4;3;1;67;291;2022.06.20
;15;2;4;1;443;292;2022.06.20
;63;2;5;2;452;293;2022.06.20
;62;6;1;2;767;294;2022.06.20
;35;4;4;3;378;295;2022.06.20
;115;5;5;4;251;296;2022.06.20
;6;5;2;4;873;297;2022.06.20
;94;5;5;3;34;298;2022.06.20
;1;5;5;5;654;299;2022.06.20
;23;4;1;3;504;300;2022.06.20
